pA0,pA0_events,pA1,pA1_events,pA2,pA2_events,A0,A1,A2,pB0,pB0_events,pB1,pB1_events,pB2,pB2_events,B0,B1,B2,num_events,luid,lgid,label_A0,caption_A0,label_A1,caption_A1,label_A2,caption_A2,label_B0,caption_B0,label_B1,caption_B1,label_B2,caption_B2,currency_symbol,A_don,B_don,A_top,B_top
0.30,30,0.00,0,0.70,70,60,180,300,0.00,0,0.50,50,0.50,50,60,180,300,100,ls3,1,30 in 100,number is 1 to 30,,,70 in 100,number is 31 to 100,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,R,-1,-1,,
0.15,15,0.25,25,0.60,60,60,180,300,0.00,0,0.50,50,0.50,50,60,180,300,100,ls4,1,15 in 100,number is 1 to 15,25 in 100,number is 16 to 40,60 in 100,number is 41 to 100,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,R,-1,-1,,
0.15,15,0.75,75,0.10,10,60,180,300,0.00,0,1.00,100,0.00,0,60,180,300,100,ls5,1,15 in 100,number is 1 to 15,75 in 100,number is 16 to 90,10 in 100,number is 91 to 100,,,100 in 100,number is 1 to 100,,,R,-1,-1,,
0.60,60,0.00,0,0.40,40,60,180,300,0.00,0,1.00,100,0.00,0,60,180,300,100,ls6,1,60 in 100,number is 1 to 60,,,40 in 100,number is 61 to 100,,,100 in 100,number is 1 to 100,,,R,-1,-1,,
0.60,60,0.00,0,0.40,40,60,180,300,0.15,15,0.75,75,0.10,10,60,180,300,100,ls7,1,60 in 100,number is 1 to 60,,,40 in 100,number is 61 to 100,15 in 100,number is 1 to 15,75 in 100,number is 16 to 90,10 in 100,number is 91 to 100,R,-1,-1,,
0.50,50,0.00,0,0.50,50,60,180,300,0.10,10,0.80,80,0.10,10,60,180,300,100,ls10,1,50 in 100,number is 1 to 50,,,50 in 100,number is 51 to 100,10 in 100,number is 1 to 10,80 in 100,number is 11 to 90,10 in 100,number is 91 to 100,R,-1,-1,,
0.50,50,0.00,0,0.50,50,60,180,300,0.00,0,1.00,100,0.00,0,60,180,300,100,ls11,1,50 in 100,number is 1 to 50,,,50 in 100,number is 51 to 100,,,100 in 100,number is 1 to 100,,,R,-1,-1,,
0.10,10,0.80,80,0.10,10,60,180,300,0.00,0,1.00,100,0.00,0,60,180,300,100,ls12,1,10 in 100,number is 1 to 10,80 in 100,number is 11 to 90,10 in 100,number is 91 to 100,,,100 in 100,number is 1 to 100,,,R,-1,-1,,
0.70,70,0.00,0,0.30,30,60,180,300,0.50,50,0.40,40,0.10,10,60,180,300,100,ls13,1,70 in 100,number is 1 to 70,,,30 in 100,number is 71 to 100,50 in 100,number is 1 to 50,40 in 100,number is 51 to 90,10 in 100,number is 91 to 100,R,-1,-1,,
0.70,70,0.00,0,0.30,30,60,180,300,0.40,40,0.60,60,0.00,0,60,180,300,100,ls14,1,70 in 100,number is 1 to 70,,,30 in 100,number is 71 to 100,40 in 100,number is 1 to 40,60 in 100,number is 41 to 100,,,R,-1,-1,,
0.50,50,0.40,40,0.10,10,60,180,300,0.40,40,0.60,60,0.00,0,60,180,300,100,ls15,1,50 in 100,number is 1 to 50,40 in 100,number is 51 to 90,10 in 100,number is 91 to 100,40 in 100,number is 1 to 40,60 in 100,number is 41 to 100,,,R,-1,-1,,
0.40,40,0.00,0,0.60,60,60,180,300,0.10,10,0.75,75,0.15,15,60,180,300,100,ls18,1,40 in 100,number is 1 to 40,,,60 in 100,number is 41 to 100,10 in 100,number is 1 to 10,75 in 100,number is 11 to 85,15 in 100,number is 86 to 100,R,-1,-1,,
0.40,40,0.00,0,0.60,60,60,180,300,0.00,0,1.00,100,0.00,0,60,180,300,100,ls19,1,40 in 100,number is 1 to 40,,,60 in 100,number is 41 to 100,,,100 in 100,number is 1 to 100,,,R,-1,-1,,
0.10,10,0.75,75,0.15,15,60,180,300,0.00,0,1.00,100,0.00,0,60,180,300,100,ls20,1,10 in 100,number is 1 to 10,75 in 100,number is 11 to 85,15 in 100,number is 86 to 100,,,100 in 100,number is 1 to 100,,,R,-1,-1,,
0.70,70,0.00,0,0.30,30,60,180,300,0.60,60,0.25,25,0.15,15,60,180,300,100,ls21,1,70 in 100,number is 1 to 70,,,30 in 100,number is 71 to 100,60 in 100,number is 1 to 60,25 in 100,number is 61 to 85,15 in 100,number is 86 to 100,R,-1,-1,,
0.70,70,0.00,0,0.30,30,60,180,300,0.50,50,0.50,50,0.00,0,60,180,300,100,ls22,1,70 in 100,number is 1 to 70,,,30 in 100,number is 71 to 100,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,R,-1,-1,,
0.60,60,0.25,25,0.15,15,60,180,300,0.50,50,0.50,50,0.00,0,60,180,300,100,ls23,1,60 in 100,number is 1 to 60,25 in 100,number is 61 to 85,15 in 100,number is 86 to 100,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,R,-1,-1,,
0.40,40,0.00,0,0.60,60,60,180,300,0.20,20,0.60,60,0.20,20,60,180,300,100,ls26,1,40 in 100,number is 1 to 40,,,60 in 100,number is 41 to 100,20 in 100,number is 1 to 20,60 in 100,number is 21 to 80,20 in 100,number is 81 to 100,R,-1,-1,,
0.40,40,0.00,0,0.60,60,60,180,300,0.10,10,0.90,90,0.00,0,60,180,300,100,ls27,1,40 in 100,number is 1 to 40,,,60 in 100,number is 41 to 100,10 in 100,number is 1 to 10,90 in 100,number is 11 to 100,,,R,-1,-1,,
0.20,20,0.60,60,0.20,20,60,180,300,0.10,10,0.90,90,0.00,0,60,180,300,100,ls28,1,20 in 100,number is 1 to 20,60 in 100,number is 21 to 80,20 in 100,number is 81 to 100,10 in 100,number is 1 to 10,90 in 100,number is 11 to 100,,,R,-1,-1,,
0.60,60,0.00,0,0.40,40,60,180,300,0.50,50,0.30,30,0.20,20,60,180,300,100,ls29,1,60 in 100,number is 1 to 60,,,40 in 100,number is 61 to 100,50 in 100,number is 1 to 50,30 in 100,number is 51 to 80,20 in 100,number is 81 to 100,R,-1,-1,,
0.60,60,0.00,0,0.40,40,60,180,300,0.40,40,0.60,60,0.00,0,60,180,300,100,ls30,1,60 in 100,number is 1 to 60,,,40 in 100,number is 61 to 100,40 in 100,number is 1 to 40,60 in 100,number is 41 to 100,,,R,-1,-1,,
0.50,50,0.30,30,0.20,20,60,180,300,0.40,40,0.60,60,0.00,0,60,180,300,100,ls31,1,50 in 100,number is 1 to 50,30 in 100,number is 51 to 80,20 in 100,number is 81 to 100,40 in 100,number is 1 to 40,60 in 100,number is 41 to 100,,,R,-1,-1,,
0.25,25,0.00,0,0.75,75,60,180,300,0.10,10,0.60,60,0.30,30,60,180,300,100,ls34,1,25 in 100,number is 1 to 25,,,75 in 100,number is 26 to 100,10 in 100,number is 1 to 10,60 in 100,number is 11 to 70,30 in 100,number is 71 to 100,R,-1,-1,,
