pA0,pA0_events,pA1,pA1_events,pA2,pA2_events,A0,A1,A2,pB0,pB0_events,pB1,pB1_events,pB2,pB2_events,B0,B1,B2,num_events,luid,lgid,label_A0,caption_A0,label_A1,caption_A1,label_A2,caption_A2,label_B0,caption_B0,label_B1,caption_B1,label_B2,caption_B2,currency_symbol,A_don,B_don,A_top,B_top
0.5,50,0.1,10,0.40000001,40,11,22,22,0.5,50,0.1,10,0.40000001,40,11,11,27,100,rWEW21,1,50 in 100,number is 1 to 50,10 in 100,number is 51 to 60,40 in 100,number is 61 to 100,50 in 100,number is 1 to 50,10 in 100,number is 51 to 60,40 in 100,number is 61 to 100,$,-1,-1,,
0.5,50,0.1,10,0.40000001,40,22,22,22,0.5,50,0.1,10,0.40000001,40,22,11,27,100,rWEW22,1,50 in 100,number is 1 to 50,10 in 100,number is 51 to 60,40 in 100,number is 61 to 100,50 in 100,number is 1 to 50,10 in 100,number is 51 to 60,40 in 100,number is 61 to 100,$,-1,-1,,
0.5,50,0.1,10,0.40000001,40,32,22,22,0.5,50,0.1,10,0.40000001,40,32,11,27,100,rWEW23,1,50 in 100,number is 1 to 50,10 in 100,number is 51 to 60,40 in 100,number is 61 to 100,50 in 100,number is 1 to 50,10 in 100,number is 51 to 60,40 in 100,number is 61 to 100,$,-1,-1,,
0.5,50,0.1,10,0.40000001,40,43,22,22,0.5,50,0.1,10,0.40000001,40,43,11,27,100,rWEW24,1,50 in 100,number is 1 to 50,10 in 100,number is 51 to 60,40 in 100,number is 61 to 100,50 in 100,number is 1 to 50,10 in 100,number is 51 to 60,40 in 100,number is 61 to 100,$,-1,-1,,
0.30000001,30,0,0,0.69999999,70,6,18,30,0.15000001,15,0.25,25,0.60000002,60,6,18,30,100,ls2,1,30 in 100,number is 1 to 30,,,70 in 100,number is 31 to 100,15 in 100,number is 1 to 15,25 in 100,number is 16 to 40,60 in 100,number is 41 to 100,$,-1,-1,,
0.30000001,30,0,0,0.69999999,70,6,18,30,0,0,0.5,50,0.5,50,6,18,30,100,ls3,1,30 in 100,number is 1 to 30,,,70 in 100,number is 31 to 100,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,$,-1,-1,,
0.15000001,15,0.25,25,0.60000002,60,6,18,30,0,0,0.5,50,0.5,50,6,18,30,100,ls4,1,15 in 100,number is 1 to 15,25 in 100,number is 16 to 40,60 in 100,number is 41 to 100,,,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,$,-1,-1,,
0.15000001,15,0.75,75,0.1,10,6,18,30,0,0,1,100,0,0,6,18,30,100,ls5,1,15 in 100,number is 1 to 15,75 in 100,number is 16 to 90,10 in 100,number is 91 to 100,,,100 in 100,number is 1 to 100,,,$,-1,-1,,
0.60000002,60,0,0,0.40000001,40,6,18,30,0,0,1,100,0,0,6,18,30,100,ls6,1,60 in 100,number is 1 to 60,,,40 in 100,number is 61 to 100,,,100 in 100,number is 1 to 100,,,$,-1,-1,,
0.60000002,60,0,0,0.40000001,40,6,18,30,0.15000001,15,0.75,75,0.1,10,6,18,30,100,ls7,1,60 in 100,number is 1 to 60,,,40 in 100,number is 61 to 100,15 in 100,number is 1 to 15,75 in 100,number is 16 to 90,10 in 100,number is 91 to 100,$,-1,-1,,
0.5,50,0,0,0.5,50,6,18,30,0.1,10,0.80000001,80,0.1,10,6,18,30,100,ls10,1,50 in 100,number is 1 to 50,,,50 in 100,number is 51 to 100,10 in 100,number is 1 to 10,80 in 100,number is 11 to 90,10 in 100,number is 91 to 100,$,-1,-1,,
0.5,50,0,0,0.5,50,6,18,30,0,0,1,100,0,0,6,18,30,100,ls11,1,50 in 100,number is 1 to 50,,,50 in 100,number is 51 to 100,,,100 in 100,number is 1 to 100,,,$,-1,-1,,
0.1,10,0.80000001,80,0.1,10,6,18,30,0,0,1,100,0,0,6,18,30,100,ls12,1,10 in 100,number is 1 to 10,80 in 100,number is 11 to 90,10 in 100,number is 91 to 100,,,100 in 100,number is 1 to 100,,,$,-1,-1,,
0.69999999,70,0,0,0.30000001,30,6,18,30,0.5,50,0.40000001,40,0.1,10,6,18,30,100,ls13,1,70 in 100,number is 1 to 70,,,30 in 100,number is 71 to 100,50 in 100,number is 1 to 50,40 in 100,number is 51 to 90,10 in 100,number is 91 to 100,$,-1,-1,,
0.69999999,70,0,0,0.30000001,30,6,18,30,0.40000001,40,0.60000002,60,0,0,6,18,30,100,ls14,1,70 in 100,number is 1 to 70,,,30 in 100,number is 71 to 100,40 in 100,number is 1 to 40,60 in 100,number is 41 to 100,,,$,-1,-1,,
0.5,50,0.40000001,40,0.1,10,6,18,30,0.40000001,40,0.60000002,60,0,0,6,18,30,100,ls15,1,50 in 100,number is 1 to 50,40 in 100,number is 51 to 90,10 in 100,number is 91 to 100,40 in 100,number is 1 to 40,60 in 100,number is 41 to 100,,,$,-1,-1,,
0.40000001,40,0,0,0.60000002,60,6,18,30,0.1,10,0.75,75,0.15000001,15,6,18,30,100,ls18,1,40 in 100,number is 1 to 40,,,60 in 100,number is 41 to 100,10 in 100,number is 1 to 10,75 in 100,number is 11 to 85,15 in 100,number is 86 to 100,$,-1,-1,,
0.40000001,40,0,0,0.60000002,60,6,18,30,0,0,1,100,0,0,6,18,30,100,ls19,1,40 in 100,number is 1 to 40,,,60 in 100,number is 41 to 100,,,100 in 100,number is 1 to 100,,,$,-1,-1,,
0.1,10,0.75,75,0.15000001,15,6,18,30,0,0,1,100,0,0,6,18,30,100,ls20,1,10 in 100,number is 1 to 10,75 in 100,number is 11 to 85,15 in 100,number is 86 to 100,,,100 in 100,number is 1 to 100,,,$,-1,-1,,
0.69999999,70,0,0,0.30000001,30,6,18,30,0.60000002,60,0.25,25,0.15000001,15,6,18,30,100,ls21,1,70 in 100,number is 1 to 70,,,30 in 100,number is 71 to 100,60 in 100,number is 1 to 60,25 in 100,number is 61 to 85,15 in 100,number is 86 to 100,$,-1,-1,,
0.69999999,70,0,0,0.30000001,30,6,18,30,0.5,50,0.5,50,0,0,6,18,30,100,ls22,1,70 in 100,number is 1 to 70,,,30 in 100,number is 71 to 100,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,$,-1,-1,,
0.60000002,60,0.25,25,0.15000001,15,6,18,30,0.5,50,0.5,50,0,0,6,18,30,100,ls23,1,60 in 100,number is 1 to 60,25 in 100,number is 61 to 85,15 in 100,number is 86 to 100,50 in 100,number is 1 to 50,50 in 100,number is 51 to 100,,,$,-1,-1,,
0.40000001,40,0,0,0.60000002,60,6,18,30,0.2,20,0.60000002,60,0.2,20,6,18,30,100,ls26,1,40 in 100,number is 1 to 40,,,60 in 100,number is 41 to 100,20 in 100,number is 1 to 20,60 in 100,number is 21 to 80,20 in 100,number is 81 to 100,$,-1,-1,,
